"Years","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Visas granted (People)","5904055","5805795","6192478","7141636","7588778","5769437","4881634","5049099","5388951","5836730","6444285","6603076","5804182","6422751","7507939","8927090","9164349","9932480","10891745.24","10381491","9681913","9028026","8742068","4013210","2792083"
"    By type of visa",,,,,,,,,,,,,,,,,,,,,,,,,
"        Temporary workers and their families (People)","283006","319919","386354","461413","529194","464507","456852","511787","504719","572438","651826","598695","465803","493675","523643","542103","606731","665183","733544","803827","834257","852667","890138","595596","590931"
"            Type of temp worker and family visa",,,,,,,,,,,,,,,,,,,,,,,,,
"                (H1B) Temporary workers in specialty occupations  (People)","80547","91360","116513","133290","161643","118352","107196","138965","124099","135421","154053","129464","110367","117409","129134","135530","153223","161369","172748","180057","179049","179660","188123","124983","61569"
"                (H2A) Agricultural workers  (People)","16011","22676","28568","30201","31523","31538","29882","31774","31892","37149","50791","64404","60112","55921","55384","65345","74192","89274","108144","134368","161583","196409","204801","213394","257898"
"                (H2B) Nonagricultural workers (People)","15706","20192","30642","45037","58215","62591","78955","76169","87492","71687","60227","94304","44847","47403","50826","50009","57600","68102","69684","84627","83600","83774","97623","61865","95053"
"                (H3) Trainees  (People)","1747","1830","1892","1514","1613","1387","1417","1410","1763","2369","3096","3427","2084","1778","2108","2927","2712","2239","1669","1435","1232","1036","1035","475","382"
"                (O1) Workers with extraordinary ability or achievement  (People)","3345","4257","5009","6466","6666","6026","6126","6437","6712","6961","7653","9014","9368","8589","8828","10590","12359","12706","13865","15918","17011","16904","17751","8838","7294"
"                (R1) Workers in religious occupations  (People)","5082","5450","6497","7418","8503","8646","8636","8806","8538","8716","10372","10061","2771","3390","3717","4340","4754","4599","4572","4764","4942","4607","4583","1732","1942"
"                (P1) Internationally recognized athletes or entertainers  (People)","18991","20598","22306","23786","24378","24287","25643","22269","23907","22698","24737","27240","23920","25186","24687","24825","23269","23335","24262","24858","24932","24320","25601","11710","8825"
"                (L1) Intracompany transferees  (People)","36589","38307","41739","54963","59384","57721","57245","62700","65458","72613","84532","84078","64696","74719","70728","62430","66700","71513","78537","79306","78178","74388","76988","35942","24863"
"                Other Workers (People)","11320","12869","12776","15565","12791","12602","12487","14171","18978","69582","89855","23563","20167","17231","19278","23717","28088","30862","33463","43249","43561","43248","46907","24136","30613"
"                    Other type of workers",,,,,,,,,,,,,,,,,,,,,,,,,
"                        (CW1) CNMI-only transitional workers  (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","431","1943","2112","3103","8093","6198","3002","3263","975","400"
"                        (H1A) Temporary Nurses  (People)","61","18","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,
"                        (H1B1) Chile and Singapore Free Trade Agreement aliens (People)","0","0","0","0","0","0","0","72","275","440","639","719","621","419","418","461","571","870","1051","1294","1391","1498","1724","1083","1586"
"                        (H1C) Registered nurses participating in the Nursing Relief for Disadvantaged Areas  (People)","0","0","0","0","34","212","191","110","63","8","26","174","128","86","7","3","0","0","0","0","0","0","0","0","0"
"                        (H2R) Returning H2B workers  (People)","0","0","0","0","0","0","0","0","1643","50854","69320",,,,,,,,,,,,,,
"                        (O2) Workers accompanying and assisting in performance of O1 workers (People)","1848","1778","2185","1894","1918","1972","2472","2611","3387","3726","4218","5054","4702","4435","4863","5357","6623","6251","5792","7417","8053","8432","8743","3919","2870"
"                        (P2) Artists or entertainers in reciprocal exchange programs  (People)","194","175","198","238","125","119","95","211","125","92","168","135","119","127","110","117","125","148","97","72","120","144","107","48","13"
"                        (P3) Artists or entertainers in culturally unique programs  (People)","7756","9291","8068","10501","8495","8131","7727","8689","9611","9949","9732","10277","8847","7183","7417","8078","7590","8238","8426","9580","9745","10225","9848","3585","743"
"                        (Q1) Participants  in international cultural exchange programs  (People)","1290","1312","1836","2024","1432","1469","1579","1570","1972","1541","1661","2443","1626","1589","1492","1632","1688","2036","1901","2025","1935","1997","2029","755","98"
"                        (TN) North American Free Trade Agreement (NAFTA) professional workers  (People)","171","295","484","906","787","699","423","908","1902","2972","4091","4761","4124","3392","4971","7638","9548","11207","13093","14768","16119","17950","21193","13771","24903"
"                Families of workers (People)","93668","102380","120412","143173","164478","141357","129265","149086","135880","145242","166510","153140","127471","142049","158953","162390","183834","201184","226600","235245","240169","228321","226726","112521","102492"
"                    Type of family visas",,,,,,,,,,,,,,,,,,,,,,,,,
"                        (O3) Spouses and children of O1 or O2  (People)","748","1056","1480","2101","2287","1760","1552","1679","1861","1912","2238","2642","2396","1929","2052","2396","3098","3473","4023","4836","4974","4923","5337","2658","2838"
"                        (CW2) Spouses and children of CW1  (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","111","612","557","634","879","648","548","524","140","129"
"                        (P4) Spouses and children of P1, P2, or P3  (People)","607","628","742","868","1020","938","895","871","1022","1007","1059","1140","1124","1032","987","1133","1264","1004","1193","1185","1399","1386","1401","968","972"
"                        (R2) Spouses and children of R1  (People)","1291","1395","2003","2489","3009","3175","3162","2976","3267","3234","3216","2941","1160","1107","1212","1375","1394","1524","1684","1660","1889","1700","1705","667","835"
"                        (H4) Spouse or Child of H1B/B1/C, H2A/B, or H3  (People)","47206","54595","69194","79518","95967","79725","69289","83128","70266","74326","86219","71019","60009","66176","74205","80015","96753","109147","124484","131051","136393","130814","125999","66323","55444"
"                        (TD) Spouses and children of TN  (People)","340","530","704","1128","1041","856","796","1268","1941","2779","3438","3715","3203","2572","3548","5578","6609","7371","8515","9762","9612","10239","11040","6055","11920"
"                        (L2) Spouses and children of L1  (People)","43476","44176","46289","57069","61154","54903","53571","59164","57523","61984","70340","71683","59579","69233","76949","71782","74104","78108","86067","85872","85254","78711","80720","35710","30354"
"        Treaty traders, investors, and their families (People)","29758","30232","32948","36520","36886","33444","32096","36821","37164","40439","40657","40093","34638","36318","39997","45110","50141","53054","59221","64329","62974","60438","63178","33984","43024"
"            Type of trader, investor visa",,,,,,,,,,,,,,,,,,,,,,,,,
"                (E1) Treaty traders and their spouses and children  (People)","9497","9457","9973","9539","9309","7811","7590","8608","8867","8015","7413","6862","6432","6279","6807","6907","7283","7330","7425","8085","7063","6542","6668","3278","4851"
"                (E2) Treaty investors and their spouses and children  (People)","20261","20775","22975","26981","27577","25633","24506","28213","28290","29453","29298","28588","24033","25500","28245","31942","35272","36825","41162","44243","43673","41181","43286","23493","33129"
"                (E2C) Treaty investors and their spouses and children CNMI only  (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","63","184","65","127","67","106","39","73","27","20"
"                (E3, E3D, and E3R) Australian Free Trade Agreement principals, spouses and children  (People)","0","0","0","0","0","0","0","0","7","2971","3946","4643","4173","4539","4942","6198","7402","8834","10507","11934","12132","12676","13151","7186","5024"
"                    Type of Australian professional or family",,,,,,,,,,,,,,,,,,,,,,,,,
"                        (E3) Australian specialty occupation professional  (People)","0","0","0","0","0","0","0","0","4","1918","2572","2961","2191","2175","2546","3211","3946","4492","5527","5609","5657","5394","5807","3144","2309"
"                        (E3D) Spouse or child of Australian specialty occupation professional  (People)","0","0","0","0","0","0","0","0","3","1053","1368","1568","1421","1582","1663","2150","2530","3083","14447","4299","4169","4341","4177","2267","1623"
"                        (E3R) Returning Australian specialty occupation professional  (People)","0","0","0","0","0","0","0","0","0","0","6","114","561","782","733","837","926","1259","1324","2026","2306","2941","3167","1775","1092"
"        (I) Representatives of foreign information media and their families  (People)","12056","11627","12694","13928","13799","18187","12329","16390","16975","15514","15885","17069","15219","13450","14177","14447","14298","13674","14447","14536","14126","11874","11312","4888","4550"
"        Students and their families (including commuter students) (People)","295941","280382","292012","315409","325175","260811","239881","242719","261968","302042","329988","375177","363305","420753","486505","526108","575956","639914","689390.24","512908","430990","399262","398357","125252","382432"
"            Type of student",,,,,,,,,,,,,,,,,,,,,,,,,
"                (F1) Academic students  (People)","266483","251565","262542","284053","293357","234322","215695","218898","237890","273870","298393","340711","331208","385210","447410","486900","534320","595569","644233","471728","393573","362929","364204","111387","357839"
"                (F2) Spouses and children of F1  (People)","22099","21845","22893","24891","26160","22212","19885","18893","18061","20748","22036","23193","21817","25220","27703","27561","29139","31732","33632","30486","27435","26650","24635","9818","19820"
"                (M1) Vocational students  (People)","7075","6515","6240","6107","5373","4116","4157","4817","5822","7227","9221","10475","9257","9192","10049","10331","11320","11706","11058","10305","9587","9317","9227","3928","4554"
"                (M2) Spouses and children of M1  (People)","284","457","337","358","285","161","144","95","153","178","219","278","250","243","383","524","498","504","404.24","389","395","366","291","119","219"
"                Commuter students (People)","0","0","0","0","0","0","0","16","42","19","119","520","773","888","960","792","679","403","63","0","0","0","0","0","0"
"                    Type of commuter student",,,,,,,,,,,,,,,,,,,,,,,,,
"                        (F3) Canadian or Mexican national academic commuter students  (People)","0","0","0","0","0","0","0","16","42","19","119","519","773","887","959","792","678","403","63","0","0","0","0","0","0"
"                        (M3) Canadian or Mexican national vocational commuter students  (People)","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0"
"        Exchange visitors and their families (People)","213687","225628","245743","273959","299958","286380","283662","282379","303822","340055","376182","392089","345541","353602","359384","350153","352396","373176","374829","380120","383165","382219","391561","123742","148623"
"            Type of exchange visitor",,,,,,,,,,,,,,,,,,,,,,,,,
"                (J1) Exchange visitors (People)","179598","192451","211349","236837","261769","253841","253866","254504","275161","309951","343946","359447","313597","320805","324294","313431","312522","331068","332540","339712","343811","342639","353279","108510","129662"
"                (J2) Spouses and children of J1  (People)","34089","33177","34394","37122","38189","32539","29796","27875","28661","30104","32236","32642","31944","32797","35090","36722","39874","42108","42289","40408","39354","39580","38282","15232","18961"
"        Diplomats, NATO, and other representatives, their employees, and their families (People)","116210","143302","126058","137047","134934","145026","140212","161014","170981","163215","169617","174415","175567","183421","180052","185184","177643","193017","187877","198107","191969","186187","196513","96689","101292"
"            Type of diplomat",,,,,,,,,,,,,,,,,,,,,,,,,
"                (A2) Other foreign government officials or employees and their families  (People)","66152","66998","66335","69079","66398","71728","73092","81536","83051","81144","82341","86181","91326","94866","96984","99573","95994","101436","100563","101778","98849","103134","99131","48358","47027"
"                (A3) Attendants, servants, or personal employees of A1 or A2 and their families  (People)","2270","2148","2279","2486","2228","1971","1259","1258","1227","1017","1000","1000","1186","916","1087","1141","1135","1203","1113","1049","1031","830","857","415","696"
"                (G1) Principals of recognized foreign governments  (People)","4800","4957","5090","5166","5274","4905","4555","5018","4995","4894","5270","5105","5467","5053","4903","5355","5081","5369","5407","5168","5131","5328","5327","3754","5028"
"                (G2) Other representatives of recognized foreign governments  (People)","8564","8847","8466","11225","8825","9144","7194","10899","13703","11946","12319","14715","12509","13341","14239","12622","12954","14491","16313","15906","15380","16340","16718","5026","3772"
"                (G3) Representatives of nonrecognized or nonmember foreign governments  (People)","202","150","165","258","134","99","146","266","309","284","278","341","329","330","262","286","251","247","393","386","292","343","425","162","171"
"                (G4) International organization officers or employees  (People)","14109","15245","17142","16960","16999","17374","18091","20017","20930","20887","21768","23830","24660","25547","26184","26520","25230","22158","21792","22756","23930","23617","24615","13749","15016"
"                (G5) Attendants, servants, or personal employees of representatives  (People)","1546","15245","1737","1737","1645","1482","1117","945","998","940","1058","973","911","747","835","730","736","643","711","598","583","541","404","149","83"
"                (NATO1-NATO7) North Atlantic Treaty Organization (NATO) officials, spouses, and children  (People)","5112","15245","5388","5390","4723","5687","5702","6723","6550","6515","6938","6969","7312","7090","7398","7165","6154","6445","6247","6336","6588","7398","7954","5767","7582"
"                    Type of NATO official",,,,,,,,,,,,,,,,,,,,,,,,,
"                        (NATO1) Principal Permanent Representative of Member State to NATO (including any of its Subsidiary Bodies) Resident in the U.S. and Resident Members of Official Staff; Secretary General, Assistant Secretaries General, and Executive Secretary of NATO; Other Permanent NATO Officials of Similar Rank, or Immediate Family (People)","6","4","22","17","4","24","16","12","28","5","5","11","37","22","16","6","8","15","25","10","7","3","16","6","26"
"                        (NATO2) Other Representative of member state to NATO (including any of its Subsidiary Bodies) including Representatives, Advisers, and Technical Experts of Delegations, or Immediate Family; Dependents of Member of a Force Entering in Accordance with the Provisions of the NATO Status-of-Forces Agreement or in Accordance with the provisions of the â€œProtocol on the Status of International Military Headquartersâ€; Members of Such a Force if Issued Visas (People)","4485","4339","4865","5031","4282","5195","5364","6234","5893","5911","6406","6381","6741","6194","6499","6252","5351","5729","5445","5588","5797","6593","7084","5199","6977"
"                        (NATO3) Official Clerical Staff Accompanying Representative of Member State to NATO (including any of its Subsidiary Bodies), or Immediate Family (People)","3","0","0","0","0","0","2","4","1","0","7","2","0","6","1","9","0","3","1","2","0","0","0","0","1"
"                        (NATO4) Official of NATO (Other Than Those Classifiable as NATO1), or Immediate Family (People)","313","80","211","97","95","89","133","255","353","333","287","358","266","243","253","300","210","211","248","168","214","202","245","110","70"
"                        (NATO5) Experts, Other Than NATO Officials Classifiable Under NATO4, Employed in Missions on Behalf of NATO, and their Dependents (People)","135","18","28","33","121","179","91","49","69","88","67","87","69","92","92","92","63","59","30","42","21","29","32","14","10"
"                        (NATO6) Member of a Civilian Component Accompanying a Force Entering in Accordance with the Provisions of the NATO Status-of-Forces Agreement; Member of a Civilian Component Attached to or Employed by an Allied Headquarters Under the â€œProtocol on the Status of International Military Headquartersâ€ Set Up Pursuant to the North Atlantic Treaty; and their Dependents (People)","163","150","256","209","220","192","93","168","201","176","164","127","196","531","536","504","519","426","498","525","547","569","576","437","496"
"                        (NATO7)Attendant, Servant, or Personal Employee of NATO1-NATO6 Classes, or Immediate Family (People)","7","2","6","3","1","8","3","1","5","2","2","3","3","2","1","2","3","2","0","1","2","2","1","1","2"
"                (A1) Ambassador, Public Minister, Career Diplomat or Consular Officer, or Immediate Family (People)","10869","10437","10757","10698","9662","10452","9152","9562","9944","10159","10216","10152","10313","11025","10448","10857","10574","10612","10909","10754","10033","9856","10040","7106","9171"
"        Alien fiances of US citizens (People)","13455","14467","19456","24746","28708","32636","29056","34352","39218","35588","38645","35301","31867","35531","28160","31792","30108","41025","35338","44130","40185","28656","41082","19309","21917"
"            By alien fiances or children",,,,,,,,,,,,,,,,,,,,,,,,,
"                (K1) Alien fiance of U.S. citizen  (People)","12088","12968","17025","21471","24973","28338","25304","29658","33910","30575","33190","30288","27679","30999","24585","27684","26321","35925","30947","38403","34797","24675","35881","16849","19218"
"                (K2) Child of fiance of U.S. Citizen  (People)","1367","1499","2431","3275","3735","4298","3752","4694","5308","5013","5455","5013","4188","4532","3575","4108","3787","5100","4391","5727","5388","3981","5201","2460","2699"
"        Spouses, children, and dependents of pending citizens (People)","0","0","0","0","25336","63482","58780","38419","17777","13856","12394","9710","8778","4775","856","362","182","463","221","122","23","6","5","6","2"
"            Type of family member or dependent of pending citizens",,,,,,,,,,,,,,,,,,,,,,,,,
"                (K3) Spouse of U.S. Citizen awaiting availability of immigrant visa  (People)","0","0","0","0","3","5078","12403","13623","11312","10341","9816","7854","7210","3882","668","290","144","392","182","102","15","6","5","2","2"
"                (K4) Child of K3  (People)","0","0","0","0","1","1294","3174","3827","3438","2935","2474","1856","1568","893","188","72","38","71","39","20","8","0","0","4","0"
"                (V1) Spouses of permanent residents, visa pending  (People)","0","0","0","0","9127","18020","13983","6896","911","166","30","0","0","0","0","0","0",,,,,,,,
"                (V2) Children of permanent residents, visa pending (People)","0","0","0","0","14805","19523","12918","7217","951","133","23","0","0","0","0","0","0",,,,,,,,
"                (V3) Dependents of V1 or V2, visa pending (People)","0","0","0","0","1400","19567","16302","6856","1165","281","51","0","0","0","0","0","0",,,,,,,,
"        Temporary visitors for business or pleasure (including with Border Crossing Cards) (People)","4711163","4564257","4859903","5662663","5983152","4259051","3375960","3413762","3740512","4076215","4514167","4696118","4116984","4652952","5614309","6955760","7086009","7681300","8510491","8072189","7432515","6811878","6470961","2849752","1343787"
"            Type of temporary visitor",,,,,,,,,,,,,,,,,,,,,,,,,
"                (B1/B2) Temporary visitors for business or pleasure  (People)","3070539","3226799","3447822","3567580","3527118","2528103","2207303","2340795","2709468","3053656","3318802","3490013","2924368","3278782","4349087","5342439","5645580","6276997","7199807","6881797","6276851","5708278","5297439","2164021","814957"
"                (B-1,2/BCC) Combination B1/B2 and Border Crossing Card  (People)","387845","289883","676386","1510133","1990402","1399819","836407","740616","732566","660482","470321","345894","372758","563494","684198","1043125","1221051","1200413","1166668","1060390","1030460","962888","1042961","625726","470501"
"                (B-1,2/BCV) Combination B1/B2 and Mexican Lincoln  (People)","0","0","0","0","0","0","0","0","0","0","307359","404589","334497","408392","458902","450142","62896","32471","37208","46333","43455","69579","63891","36810","42388"
"                (B2) Temporary visitors for pleasure  (People)","1020402","854738","642676","509031","381431","255487","271358","279106","245829","305645","356224","407723","443100","358087","84352","84713","114526","126539","63387","43564","42037","32428","28829","5276","2492"
"                (B1) Temporary visitors for business  (People)","232377","192837","93019","75919","84201","75642","60892","53245","52649","56432","61461","47899","42261","44197","37770","35341","41956","44880","43421","40105","39712","38705","37841","17919","13449"
"        Transit aliens (People)","46062","39879","34324","33050","32952","30239","40839","89276","75853","67213","61138","47233","38387","33349","27192","25063","22435","25166","21540","21080","19335","15652","14344","7584","164315"
"            Type of transit alien",,,,,,,,,,,,,,,,,,,,,,,,,
"                (C1) Alien in Transit  (People)","37423","31457","26494","26407","27231","24207","34664","81292","65272","54994","47714","34466","27589","19452","13423","12028","12707","13606","11736","11992","11061","9563","9112","5228","3790"
"                (C2) Aliens in transit to the United Nations  (People)","44","34","25","37","24","8","15","21","44","21","32","22","18","30","12","13","4","6","18","15","12","4","53","1","158018"
"                (C3) Foreign government officials, their spouses, children, and attendants in transit  (People)","8595","8388","7805","6606","5697","6024","6160","7963","10537","12198","13392","12745","10780","13867","13757","13022","9724","11554","9786","9073","8262","6085","5179","2355","2507"
"        Crew (airline, cruiseship, etc.) (People)","185282","204389","191666","196568","197530","197516","231404","246729","249104","235430","262109","242134","229527","218510","249592","269817","265611","274234","287003","301462","300487","295646","293610","167673","160515"
"            Type of crew member",,,,,,,,,,,,,,,,,,,,,,,,,
"                (C1/D) Combined Transit and Crewmember  (People)","152215","172955","161723","165556","167435","175446","210648","228778","229115","214942","241947","217428","205893","205182","239181","262168","258935","267998","280664","295140","293285","288957","285477","161076","158018"
"                (D-Crew) Crew member  (People)","12718","11260","10768","9817","8480","8399","4631","1055","0","0","0","0","0","0","0","0","0",,,,,,,,
"                (D) Crewmember (Sea or Air) (People)","20349","20174","19175","21195","21615","13671","16125","16896","19989","20488","20162","24706","23634","13328","10411","7649","6676","6236","6339","6322","7202","6689","8133","6597","2497"
"        Other (including informants, crime victims, trafficking victims) (People)","21","26","19","381","200","342","467","241","132","154","106","191","120","921","1784","2126","2373","2687","2273","2057","2039","2341","2049","938","1455"
"            Other type of visas",,,,,,,,,,,,,,,,,,,,,,,,,
"                (N8) Parent of an Alien Classified SK3 or SN3  (People)","19","15","10","12","8","8","11","8","10","11","7","8","10","12","5","10","15","10","14","16","9","18","17","8","10"
"                (N9) Child of N8 or of SK1, SK2, SK4, SN1, SN2, or SN4  (People)","2","11","9","8","6","4","7","3","4","0","0","3","2","0","0","2","3","2","4","5","0","4","7","2","1"
"                (Q2) Irish peace program participant  (People)","0","0","0","358","186","329","389","11","6","80","1","1","0","0","0","0","0",,,,,,,,
"                (Q3) Spouse of Q2  (People)","0","0","0","3","0","1","2","0","0","3","0","0","0","0","0","0","0",,,,,,,,
"                (S5) Certain Aliens Supplying Critical Information Relating to a Criminal Organization or Enterprise  (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0"
"                (S6) Certain Aliens Supplying Critical Information Relating to Terrorism  (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"                (S7) Qualified Family Member of S5 or S6  (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"                (T1) Victim of a severe form of trafficking in persons (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"                (T2) Spouse of T1 (People)","0","0","0","0","0","0","20","74","35","11","20","34","8","64","127","151","171","115","111","89","76","66","60","33","32"
"                (T3) Child of T1 (People)","0","0","0","0","0","0","38","145","65","43","70","132","81","167","258","342","357","370","376","310","339","296","249","131","173"
"                (T4) Parent of T1  (People)","0","0","0","0","0","0","0","0","7","5","5","5","3","7","10","7","22","18","10","26","17","28","36","18","28"
"                (T5) Unmarried sibling under age 18 of T1  (People)","0","0","0","0","0","0","0","0","5","1","3","8","3","8","14","17","31","13","10","40","23","34","26","14","29"
"                (T6) Adult/minor child of derivative beneficiary of T1 (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","18","11","15","24","17"
"                (U1) Victim of criminal activity (People)","0","0","0","0","0","0","0","0","0","0","0","0","8","84","132","170","169","149","121","146","129","128","127","79","138"
"                (U2) Spouse of U1 (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","41","61","103","116","147","126","113","122","174","164","71","96"
"                (U3) Child of U1 (People)","0","0","0","0","0","0","0","0","0","0","0","0","5","510","1071","1194","1391","1756","1419","1204","1226","1521","1292","544","894"
"                (U4) Parent of U1 under 21 years of age (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","15","32","45","42","44","42","40","40","36","23","6","17"
"                (U5) Unmarried Sibling under age 18 of U1 under 21 years of age (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","13","72","83","55","63","39","60","40","25","33","8","20"

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,"State Department","Nonimmigrant Visa Issuances","","https://travel.state.gov/content/travel/en/legal/visa-law0/visa-statistics/nonimmigrant-visa-statistics.html","","2020","Yearly"
"Exported on: 04/02/2023"
